Book|Chapter #|Verse #|Verse
Mateo|1|1|Inin ēn meꞌ kapapuꞌan Isa Almasihin. Isa Almasi inin tubuꞌ si Daꞌud duk si Daꞌud tubuꞌ Ibrahim. 
Mateo|1|2-6|aAmban Ibrahim sampay pī pu Sultan Daꞌud, inin meꞌ kapapuꞌan talistahin: Ibrahim sama si Isahak, Isahak sama si Yakub, si Yakub sama si Yuda duk meꞌ pungtinaꞌinen. Si Yuda sama si Peres duk Sera, (saꞌiden si Tamar). Si Peres sama si Hesdon, si Hesdon sama si Aram. Si Aram sama Amminadab, Amminadab sama si Nasson, si Nasson sama si Salmon, si Salmon sama si Bowas (saꞌinen si Rahab), si Bowas sama si Obed (saꞌinen si Rut), si Obed sama si Jesse, si Jesse sama si Sultan Daꞌud. 
Mateo|1|6b-11| Amban si Daꞌud pī si masa pamatahalaꞌ meꞌ aꞌa Israꞌil pī hap lahat Babilonin, inin meꞌ kapapuꞌan talistahin: Si Daꞌud sama si Sulaiman (saꞌinen bakas anda si Uriya), si Sulaiman sama si Robowam, Robowam sama si Abiya, si Abiya sama si Asa, si Asa sama si Josapat. Josapat sama si Joram, si Joram sama si Usiyas, si Usiyas sama si Jotam, si Jotam sama si Ahas, si Ahas sama si Hijikiya, si Hijikiya sama si Manasse, Manasse sama si Amon, si Amon sama si Josiya, si Josiya sama si Jekoniya duk meꞌ pungtinaꞌinen. 
Mateo|1|12-16| Amban masa pamatahalaꞌ meꞌ aꞌa Israꞌil hap Babilonin, pī si panganak pu si Isahin, inin meꞌ kapapuꞌan talistahin: Jekoniya sama Salati, Salati sama Serubbabel, Serubbabel sama si Abiyud, Abiyud sama si Eliyakim, Eliyakim sama si Asor, si Asor sama si Sadok, si Sadok sama si Akim, si Akim sama si Eliyud, Eliyud sama si Eleyasar, Eleyasar sama si Mattan, si Mattan sama si Yakub, si Yakub sama si Yusup ella si Mariyamin. Si Mariyam saꞌi si Isa inēnan Almasihin. 
Mateo|1|17|Manjari niyaꞌ sampuk-ampat pangkat amban Ibrahim sampay si Sultan Daꞌud, duk sampuk-ampat pangkat amban Sultan Daꞌud sampay masa pamatahalaꞌ siye tudju Babilonin duk sampuk-ampat pangkat amban pamatahalaꞌ siye tudju Babilonin sampay panganak pu Almasihin. 
Mateo|1|18|Manjari sa inin panganak pu si Isa Almasihin. Saꞌinen Mariyam, taga tunang inēnan si Yusup. Gaꞌ pe siye takawin betteng Mariyam weꞌ balakat Niyawa Tuhanin. 
Mateo|1|19|Tunangnen, si Yusup, bentel hinangannen. Hangkan pagkataꞌuhanne weꞌ betteng Mariyam, gaꞌi iye bayaꞌ weꞌ iyaꞌ Mariyam. Hangkan tapikilne magbutas ne hadja siye saguwaꞌ gaꞌi pinabawag. 
Mateo|1|20|Sasangne mamikil-mikil inin, paguwaꞌ pu si Yusup malaꞌikat Tuhanin pataginep si iye. Paꞌin malaꞌikatin, "O Yusup, tubuꞌ Sultan Daꞌud, daꞌa kew magalang-alang ngawinan Mariyam, peggeꞌ puꞌunne betteng weꞌ balakat Niyawa Tuhanin. 
Mateo|1|21|Nganak iye iyan lella duk ēnanun iye si Isa (maꞌananen manimbulin) peggeꞌ iye manimbul meꞌ bangsanen amban meꞌ duseden." 
Mateo|1|22|Na, kēmon inin pinalabey supaya tuman bakas pinaꞌin Tuhan pu si Nabi Isaya awwalley, paꞌinne, 
